featureId,feature,featureColor,featureLayer,featureWeight
11723300070,"-23.366371588804537,120.0841765508043319;-23.366343131809292,120.0845475165222101;-23.366320118042705,120.0848280146217991;-23.366319212070186,120.0848387729155223;-23.366314319372182,120.0848984325533075;-23.366294857535731,120.0850716407497361;-23.366287610257785,120.0851559466413816;-23.366280275758507,120.0852294941715695;-23.366275022596607,120.0852867087039740;-23.366269051213233,120.0853295461123070;-23.366255939135961,120.0853995723321233;-23.366246722182517,120.0854252939535298;-23.366374469384583,120.0854731284461184;-23.366386760729756,120.0854315629108131;-23.366410172184466,120.0853395316662224;-23.366416501437020,120.0853082350636601;-23.366444527129838,120.0851831466413712;-23.366458364375727,120.0851031445413564;-23.366477547724381,120.0849566366082448;-23.366482091732361,120.0848532589020188;-23.366482546281030,120.0848424027742772;-23.366488543890564,120.0847076303297442;-23.366499281378071,120.0844158840212605;-23.366511444483262,120.0841908396141598;-23.366371588804537,120.0841765508043319",blue,Jimblebar Lanes,1
11198467232,"-23.387583577056800,120.0883415788188668;-23.387573189626425,120.0886722508375212;-23.387572766442947,120.0888896673931804;-23.387706486311797,120.0888901655288560;-23.387707541444024,120.0886730424259905;-23.387711325319073,120.0883856967887154;-23.387714407634449,120.0883420767574966;-23.387583577056800,120.0883415788188668",blue,Jimblebar Lanes,1
10186863748,"-23.384187590274448,120.1648882203045878;-23.384217665107847,120.1648596638119356;-23.384242319534929,120.1648415718954325;-23.384269949888638,120.1648362924052629;-23.384290986535782,120.1648398147562826;-23.384394087848219,120.1648758133769943;-23.384433674277058,120.1647382069294485;-23.384347547187719,120.1647034809083709;-23.384317033485546,120.1646879281135047;-23.384274964432084,120.1646660173205054;-23.384245714432109,120.1646517360538367;-23.384189733243301,120.1646558399717345;-23.384130494822153,120.1646837098528458;-23.384093558898659,120.1647088427644642;-23.384076389419372,120.1647590146514948;-23.384067621797264,120.1647921693491698;-23.384054245321782,120.1648395052011530;-23.384187590274448,120.1648882203045878",blue,Jimblebar Lanes,1
11874249415,"-23.382398343954048,120.1201285470033204;-23.382395252794318,120.1202031706584493;-23.382383650208041,120.1203623935287061;-23.382516193400723,120.1203730631202518;-23.382526168723987,120.1202209797749467;-23.382536479986898,120.1201573105741924;-23.382398343954048,120.1201285470033204",blue,Jimblebar Lanes,1
11877218914,"-23.315441234742341,120.1104625861578247;-23.315440795231864,120.1104207263445963;-23.315428538678204,120.1103403312520917;-23.315408787048987,120.1102633587615496;-23.315391736346124,120.1102136735569079;-23.315366919780355,120.1101671175260656;-23.315216199601749,120.1102567928108060;-23.315266911083856,120.1103679007407027;-23.315275831051691,120.1104337229241031;-23.315275734651204,120.1104551418253155;-23.315441234742341,120.1104625861578247",blue,Jimblebar Lanes,1
11961938010,"-23.385191787019094,120.1174556773812638;-23.385192603566168,120.1174418871812529;-23.385183765155929,120.1174066774150001;-23.385188468791581,120.1173767499468196;-23.385199855391842,120.1173416393631174;-23.385211236439970,120.1173259916221852;-23.385264425937771,120.1172962630671393;-23.385252277614270,120.1171529805039023;-23.385195934789760,120.1171587470520794;-23.385161981879537,120.1171718503696113;-23.385117368793179,120.1172056872452969;-23.385081510550650,120.1172511633026476;-23.385068139962103,120.1172778626731008;-23.385054038624905,120.1173340985697525;-23.385054293090655,120.1173916068874656;-23.385069981068218,120.1174706329687421;-23.385070155036578,120.1174938123465674;-23.385191787019094,120.1174556773812638",blue,Jimblebar Lanes,1
12000153659,"-23.363660123979065,120.0713593501484366;-23.363577420836383,120.0713494663817708;-23.363484782574580,120.0713507315059801;-23.363431505185843,120.0713720489770883;-23.363386353231102,120.0713958120831378;-23.363331352820569,120.0714434385061201;-23.363281587799528,120.0714961510542078;-23.363250869048206,120.0715663716797363;-23.363238117267429,120.0716394298243133;-23.363240272406157,120.0716808985416176;-23.363240266323919,120.0717022196457576;-23.363254604884562,120.0717639344629589;-23.363386884264937,120.0717498598188416;-23.363394853893583,120.0716654561732275;-23.363410124067001,120.0716265315283356;-23.363431893918011,120.0715919106689167;-23.363459350582362,120.0715624737686217;-23.363503240034613,120.0715332335954847;-23.363577104990259,120.0715071251700577;-23.363647984114716,120.0715029244649473;-23.363660123979065,120.0713593501484366",blue,Jimblebar Lanes,1
12013798429,"-23.367376699428231,120.0765858171138625;-23.367417452238075,120.0764741286023166;-23.367451965416111,120.0763960839770108;-23.367497589552429,120.0762996531018597;-23.367541136452693,120.0762051781496819;-23.367566160522826,120.0761573540758895;-23.367626139652987,120.0760650319154697;-23.367648178756837,120.0760360836618639;-23.367728563254996,120.0759446431221500;-23.367783476751099,120.0758851825021800;-23.367695471002016,120.0757893293330410;-23.367636401834098,120.0758569073378477;-23.367598196042469,120.0759023832350986;-23.367552130972766,120.0759619422617513;-23.367478335493944,120.0760610119029159;-23.367388906671491,120.0762060479969017;-23.367329006671613,120.0763374914554792;-23.367291871585906,120.0764277613059623;-23.367254099613120,120.0765350488753617;-23.367376699428231,120.0765858171138625",blue,Jimblebar Lanes,1
12029792026,"-23.365845850596630,120.0717537440398659;-23.365748907107303,120.0716543693448365;-23.365718308722714,120.0716191580945827;-23.365621577876782,120.0717238987590363;-23.365653260136173,120.0717577408379623;-23.365749480939998,120.0718583869257203;-23.365845850596630,120.0717537440398659",blue,Jimblebar Lanes,1
12033252747,"-23.382432332877990,120.1196726884574208;-23.382416212286692,120.1198441364235436;-23.382417816587865,120.1199174889568818;-23.382437388473386,120.1199915273382086;-23.382470054552170,120.1200582313701491;-23.382521865198373,120.1201143739586780;-23.382575125930708,120.1201514450158798;-23.382646537701810,120.1201791282006955;-23.382717592301236,120.1201928254989904;-23.382734073830733,120.1200221599833384;-23.382643972319883,120.1199932040818927;-23.382612016957428,120.1199671862428937;-23.382585753374545,120.1199289433880785;-23.382568883949885,120.1198768131150022;-23.382556083031509,120.1198056114891715;-23.382555734648387,120.1197608175852007;-23.382564693871762,120.1196890306239911;-23.382432332877990,120.1196726884574208",blue,Jimblebar Lanes,1
12006323890,"-23.364723786127108,120.0959006008507379;-23.364655581647044,120.0960242194844087;-23.364590358059837,120.0961432415694730;-23.364704554260058,120.0962171886008195;-23.364769777847265,120.0960981665157552;-23.364837982327330,120.0959745478820843;-23.364723786127108,120.0959006008507379",blue,Jimblebar Lanes,1
12058735536,"-23.380962464339034,120.1435227865429279;-23.381290076621671,120.1433864711803745;-23.381237926743602,120.1432534552284349;-23.381011538648168,120.1433592628859887;-23.380927651854275,120.1433840013826930;-23.380962464339034,120.1435227865429279",blue,Jimblebar Lanes,1
12059370521,"-23.367017761462972,120.0827180552750764;-23.367022995317954,120.0827285205778319;-23.367030106716673,120.0828040251578487;-23.367031277031602,120.0828161528384186;-23.367034485075943,120.0829648139696951;-23.367028512995065,120.0830100964587782;-23.367026972897583,120.0830281899516476;-23.367152112727967,120.0830372941865835;-23.367153923584898,120.0830195919251071;-23.367160988663935,120.0829409586084862;-23.367166897350228,120.0828013937995255;-23.367165275611449,120.0827891682849372;-23.367158348085650,120.0827021229360958;-23.367152122459727,120.0826866696008758;-23.367017761462972,120.0827180552750764",blue,Jimblebar Lanes,1
12081602471,"-23.384815183312408,120.1579782691651995;-23.384814366151531,120.1579942110362703;-23.384782377504173,120.1580848724506613;-23.384743444172412,120.1581486375026608;-23.384714362253861,120.1581781720953475;-23.384811750136195,120.1583022910383553;-23.384821413575160,120.1582939784226771;-23.384862419288344,120.1582452752097243;-23.384891054442374,120.1581993096436092;-23.384947431305092,120.1580742231548321;-23.384961805326850,120.1580116300667034;-23.384815183312408,120.1579782691651995",blue,Jimblebar Lanes,1
12085575534,"-23.336346877470748,120.0414799693205437;-23.336353530827877,120.0412620641736144;-23.336216381655538,120.0412555020036869;-23.336205755578810,120.0414732112732183;-23.336346877470748,120.0414799693205437",blue,Jimblebar Lanes,1
12091870329,"-23.383818523694283,120.1859528596154925;-23.383816150231325,120.1863602099145005;-23.383961156254424,120.1863611978360362;-23.383963249053372,120.1859881764522852;-23.383963529549981,120.1859544343564082;-23.383818523694283,120.1859528596154925",blue,Jimblebar Lanes,1
12093433198,"-23.383816150231325,120.1863602099145005;-23.383815550680073,120.1865628581701144;-23.383816878669662,120.1866552823148296;-23.383817054312032,120.1866725934988550;-23.383961699620133,120.1866720165440800;-23.383961434524418,120.1866517712569969;-23.383960014849471,120.1865642372676240;-23.383961156254424,120.1863611978360362;-23.383816150231325,120.1863602099145005",blue,Jimblebar Lanes,1
12098044040,"-23.374730128306212,120.1446283204523099;-23.374822553762618,120.1447400180464352;-23.374988720404115,120.1449429710849760;-23.375059756226727,120.1450224899570609;-23.375165069203637,120.1449018079510970;-23.375155681574052,120.1448928094135381;-23.375059283091145,120.1447819917775448;-23.374915050141256,120.1446030998299006;-23.374842119979005,120.1445174192250143;-23.374730128306212,120.1446283204523099",blue,Jimblebar Lanes,1
12096519293,"-23.374193373526326,120.0730221366249104;-23.373763990259056,120.0728901707817096;-23.373514357696829,120.0728191486107416;-23.373379111931685,120.0727869621238655;-23.373296771987115,120.0727699387460404;-23.373144366954146,120.0727521281640149;-23.373096334496758,120.0727450830555686;-23.373083470914600,120.0728935474843179;-23.373146130548188,120.0729001045741585;-23.373190641821427,120.0729066604263053;-23.373280567383005,120.0729193809792555;-23.373426106471250,120.0729507857422673;-23.373533272997751,120.0729792537913647;-23.373752658599629,120.0730491980639795;-23.374160014899624,120.0731675677557362;-23.374193373526326,120.0730221366249104",blue,Jimblebar Lanes,1
