WKT,label,fillColor
"POLYGON((120.0792477793057742 -23.414024721160660, 120.0791669849091567 -23.413893823198700, 120.0791536809851278 -23.413854460400523, 120.0791494719486750 -23.413803176681431, 120.0791584666315255 -23.413756042551915, 120.0791833051174366 -23.413704208804372, 120.0792235965752645 -23.413653273552102, 120.0792887295793710 -23.413595378856239, 120.0793762594430976 -23.413536303996687, 120.0794413942637200 -23.413505044954073, 120.0794934246214818 -23.413490944816583, 120.0795501502855206 -23.413487858762584, 120.0796236987332029 -23.413493977525456, 120.0796398380087767 -23.413519525090978, 120.0796736782403984 -23.413524120245370, 120.0796795464896175 -23.413524931184509, 120.0797867399134494 -23.413540791707523, 120.0797678713162227 -23.413649687254356, 120.0796605800891608 -23.413633826759242, 120.0796600910483801 -23.413633465737343, 120.0796239035330807 -23.413628780962206, 120.0796034640188582 -23.413648740960692, 120.0795334365982941 -23.413644246419713, 120.0795165167996038 -23.413646598795543, 120.0794906974057557 -23.413656267228638, 120.0794573477358619 -23.413674334812596, 120.0794121647064250 -23.413704594969724, 120.0793720675496287 -23.413736388611994, 120.0793433153519936 -23.413765018855594, 120.0793269837581615 -23.413787686392772, 120.0793197475260470 -23.413805385365985, 120.0793191616672653 -23.413819470827986, 120.0793237593796735 -23.413833554811278, 120.0793947721540203 -23.413945404299404, 120.0792477793057742 -23.414024721160660 ))",lane,blue
"POLYGON((120.2048921277595399 -23.384749612448163, 120.2048971148006177 -23.384736067472755, 120.2048999497457556 -23.384716293077000, 120.2048993618857275 -23.384701034175251, 120.2048747063891880 -23.384567862939844, 120.2050428284481957 -23.384542985133201, 120.2050610270165164 -23.384648077911170, 120.2050649420151958 -23.384690152098263, 120.2050630876454801 -23.384747216129566, 120.2050483230523587 -23.384801394552492, 120.2048921277595399 -23.384749612448163 ))",lane,blue
"POLYGON((120.2055106657311118 -23.385194386852288, 120.2054176615897272 -23.385293100737900, 120.2054122831817873 -23.385304388566159, 120.2054101325267446 -23.385319287087713, 120.2054141440047526 -23.385341948821656, 120.2054260779631128 -23.385370748039485, 120.2054495534292194 -23.385410198226395, 120.2054797774290343 -23.385451271714492, 120.2055016869904974 -23.385475282697954, 120.2055178254470996 -23.385488821646926, 120.2055542097203453 -23.385510390661713, 120.2055574392035509 -23.385539372943357, 120.2055786632741710 -23.385550653182770, 120.2055807172158932 -23.385551736081067, 120.2056169057656830 -23.385571589635004, 120.2056775458434215 -23.385602000184848, 120.2056190660636541 -23.385698085801550, 120.2056073292573318 -23.385691949405770, 120.2054967098694437 -23.385634285427213, 120.2054651200973409 -23.385644136087118, 120.2054027189272212 -23.385604426133426, 120.2053504885048384 -23.385553156113317, 120.2052927791311177 -23.385472994743617, 120.2052581521571216 -23.385405106277077, 120.2052430867035162 -23.385350033460203, 120.2052413228894400 -23.385300825721657, 120.2052530557917926 -23.385249718035536, 120.2052774057418528 -23.385204927074794, 120.2053821452548201 -23.385091311933412, 120.2055106657311118 -23.385194386852288 ))",lane,blue
"POLYGON((120.1464896691831073 -23.378411005834427, 120.1460174939757520 -23.378686616394298, 120.1459405151735869 -23.378574317156331, 120.1464122991803375 -23.378298887288761, 120.1464896691831073 -23.378411005834427 ))",lane,blue
"POLYGON((120.0877929985074343 -23.307245274653794, 120.0877060574951224 -23.307334145161445, 120.0876111958312895 -23.307443694419160, 120.0875629825396657 -23.307497972674294, 120.0874421901626449 -23.307419003074754, 120.0874665411902993 -23.307390012925262, 120.0875903504488662 -23.307248763496246, 120.0876660442190394 -23.307161792294465, 120.0877929985074343 -23.307245274653794 ))",lane,blue
"POLYGON((120.1626999449791074 -23.363731761555199, 120.1627104098446676 -23.363730584795331, 120.1630051868648488 -23.363702420405368, 120.1631880777165163 -23.363684942194500, 120.1632865649164122 -23.363675343321929, 120.1634645658775177 -23.363661839281470, 120.1635602172948310 -23.363659735317053, 120.1635619863614091 -23.363785960724150, 120.1635323520011921 -23.363786240048952, 120.1632830526639893 -23.363802382848785, 120.1630271037539523 -23.363833876905330, 120.1627186347865009 -23.363869449010016, 120.1626999449791074 -23.363731761555199 ))",lane,blue
"POLYGON((120.0783084293936148 -23.413325690353143, 120.0783599738079094 -23.413356645239803, 120.0784140624177700 -23.413406831245609, 120.0784999413323383 -23.413519398815710, 120.0786479321391400 -23.413732261248053, 120.0785095461229183 -23.413813742622493, 120.0784127114177588 -23.413674361943261, 120.0783037484162614 -23.413524781914101, 120.0782765569877638 -23.413493549209248, 120.0782506376108666 -23.413471254886343, 120.0782352819618807 -23.413463313715870, 120.0783084293936148 -23.413325690353143 ))",lane,blue
"POLYGON((120.0868107647626195 -23.308739679594902, 120.0867189427945407 -23.308963535570811, 120.0866874608011111 -23.309119656569816, 120.0866767064667768 -23.309178619237385, 120.0866786709304537 -23.309301774716781, 120.0865314781099518 -23.309317075775687, 120.0865317702819479 -23.309298927331637, 120.0865263846202598 -23.309203853127596, 120.0865364519735923 -23.309110309451278, 120.0866270936464579 -23.308788849941821, 120.0866749123445948 -23.308685002396138, 120.0868107647626195 -23.308739679594902 ))",lane,blue
"POLYGON((120.1725485327369779 -23.375173886182031, 120.1725840334991097 -23.375147330691370, 120.1726793881323239 -23.375095747698854, 120.1728073112965472 -23.375044968028732, 120.1728794877896298 -23.375011359428206, 120.1729454157566148 -23.375137295661742, 120.1728685444683426 -23.375167384277825, 120.1727513804229718 -23.375229356882329, 120.1726851710168286 -23.375278945172894, 120.1726776407346253 -23.375287254033407, 120.1725485327369779 -23.375173886182031 ))",lane,blue
"POLYGON((120.2215126474831684 -23.369474605688772, 120.2217103085129740 -23.369484842402429, 120.2216992679795942 -23.369649535153548, 120.2214997485098458 -23.369636680549845, 120.2215126474831684 -23.369474605688772 ))",lane,blue
"POLYGON((120.0931369377608881 -23.324024212070807, 120.0931414330825940 -23.323971029771250, 120.0931585444421479 -23.323909356579670, 120.0931945322992332 -23.323854630360307, 120.0932420615224382 -23.323808478431975, 120.0932855822479529 -23.323783365299099, 120.0933275387313980 -23.323767191357276, 120.0934964416952985 -23.323720011610982, 120.0935528823302512 -23.323839810807034, 120.0933833939139759 -23.323907035178429, 120.0933583575001590 -23.323924829519822, 120.0933319526046746 -23.323953820255218, 120.0933090693274459 -23.323993103086108, 120.0932841316220381 -23.324024170081051, 120.0931369377608881 -23.324024212070807 ))",lane,blue
"POLYGON((120.0831130413152031 -23.386490749529988, 120.0831164711709138 -23.386589616486732, 120.0831312426544802 -23.386636472965456, 120.0831521740666474 -23.386658768711270, 120.0832099780477617 -23.386692069361420, 120.0832419607199891 -23.386706958145814, 120.0833355602399303 -23.386733747679301, 120.0833822137784339 -23.386754230280370, 120.0833682361370480 -23.386874771887345, 120.0833050541051394 -23.386857995905754, 120.0831021103400662 -23.386827806531357, 120.0830560435224198 -23.386805879117287, 120.0830136919836617 -23.386765711992311, 120.0829843472030572 -23.386709830635712, 120.0829769121070694 -23.386679766069575, 120.0829718229400695 -23.386629927247184, 120.0829740628637963 -23.386489886272630, 120.0831130413152031 -23.386490749529988 ))",lane,blue
"POLYGON((120.0933146551579169 -23.381518800113455, 120.0933103291986346 -23.381187164885513, 120.0933059045309432 -23.380842257004020, 120.0933036432708518 -23.380669441915824, 120.0934650180523181 -23.380661360039394, 120.0934650303861532 -23.380842211610444, 120.0934649561052646 -23.381187120775344, 120.0934648809191969 -23.381518757258794, 120.0933146551579169 -23.381518800113455 ))",lane,blue
"POLYGON((120.0917720555782835 -23.365054523654485, 120.0916442211285531 -23.364972034740107, 120.0915348729548207 -23.364911029655897, 120.0914184835642965 -23.364859055615499, 120.0912758830128128 -23.364808623988297, 120.0910379235731574 -23.364747384721761, 120.0909430530792099 -23.364727457617576, 120.0909782524944009 -23.364584517949464, 120.0909958573159504 -23.364588034251084, 120.0910921949999746 -23.364610037614816, 120.0912459443068644 -23.364648547735199, 120.0913220368023284 -23.364671730648817, 120.0914368602512631 -23.364707723743667, 120.0915870901443471 -23.364768265713856, 120.0917129675257755 -23.364836037859187, 120.0918583099421084 -23.364935947816985, 120.0917720555782835 -23.365054523654485 ))",lane,blue
"POLYGON((120.0507608129491881 -23.324896767691965, 120.0507138743200215 -23.324998267437447, 120.0506673242374991 -23.325060671349777, 120.0506074725647088 -23.325117932506581, 120.0506007245112997 -23.325123351852693, 120.0505959323008140 -23.325125520188202, 120.0504918617083702 -23.325008894741782, 120.0504965560909951 -23.325006365272774, 120.0505115192770518 -23.324995977613798, 120.0505554298361660 -23.324950639330922, 120.0505855497396008 -23.324899436109220, 120.0505963054963594 -23.324861330512501, 120.0507608129491881 -23.324896767691965 ))",lane,blue
